feature,importance
ch3_spectral_bandwidth,0.05305275660459898
ch2_dominant_frequency,0.04641208053107321
ch4_peak_to_peak,0.046173878765450614
ch3_dominant_amplitude,0.03767388573415893
ch4_spectral_energy,0.036307781662276495
ch1_peak_to_peak,0.03585306167368841
ch4_rms,0.03270883957004439
ch3_spectral_centroid,0.03193831111853993
ch3_kurtosis,0.030517272357334306
ch6_spectral_centroid,0.02972747311632694
ch2_dominant_amplitude,0.02911819462585961
ch4_std,0.02817837046854295
ch2_kurtosis,0.02705253748040037
ch6_spectral_bandwidth,0.026319283384762814
ch5_peak_to_peak,0.02619975267524861
ch2_spectral_centroid,0.02380879346393746
ch5_spectral_energy,0.021051301406733582
ch4_spectral_centroid,0.019819991972455483
ch5_std,0.019660114007274056
ch2_crest_factor,0.01748280463545442
ch1_dominant_frequency,0.017353127620703675
ch4_spectral_bandwidth,0.015973772187518588
ch4_dominant_amplitude,0.015827300495242568
ch2_std,0.015759238214003456
ch1_spectral_centroid,0.01573804663219543
ch5_rms,0.015669514708351283
ch5_spectral_bandwidth,0.014085454822871768
ch5_spectral_centroid,0.01376831713231642
ch1_std,0.013284444099701854
ch1_spectral_energy,0.012970247865304858
ch5_kurtosis,0.012369402330573709
ch5_dominant_amplitude,0.011957847713001304
ch2_spectral_energy,0.011772238555655103
ch1_rms,0.011536081588019545
ch2_rms,0.01151256718730207
ch3_std,0.011008652725007943
ch6_rms,0.010777040124788756
ch3_peak_to_peak,0.010560002061111812
ch3_crest_factor,0.01023110503279301
ch6_spectral_energy,0.010178709340351788
ch3_rms,0.009633320206895956
ch6_std,0.008762994671034719
ch3_dominant_frequency,0.008395528756398412
ch1_dominant_amplitude,0.008307178542821682
ch6_peak_to_peak,0.007988607409045475
ch3_spectral_energy,0.007913937961542295
ch2_peak_to_peak,0.0071276276781615635
ch1_spectral_bandwidth,0.007013575690418232
ch2_spectral_bandwidth,0.0067820583468773685
ch1_crest_factor,0.006539290833963598
ch5_crest_factor,0.006111232909712479
ch6_dominant_frequency,0.00566408291990958
ch1_kurtosis,0.005559388965258263
ch4_dominant_frequency,0.0048243668137460975
ch6_dominant_amplitude,0.004683986804149485
ch6_crest_factor,0.003973409579390979
ch4_kurtosis,0.002851646453431012
ch4_crest_factor,0.0024927369823570826
ch5_dominant_frequency,0.0023626478253925922
ch6_kurtosis,0.0016227849585165855
