feature,importance
ch1_peak_to_peak,0.07670809569870542
ch3_kurtosis,0.06432037100009351
ch4_peak_to_peak,0.06271246887698603
ch4_rms,0.05782421659314193
ch4_std,0.05640958045960825
ch5_peak_to_peak,0.05292233727740655
ch2_kurtosis,0.050386586228507516
ch5_std,0.04277428027967213
ch2_rms,0.04248559863564807
ch2_std,0.040782643488353046
ch5_rms,0.04047292034990517
ch2_crest_factor,0.03729397710164558
ch1_rms,0.03578697306905879
ch1_std,0.03295747872016355
ch6_std,0.03095257486570307
ch3_peak_to_peak,0.026561040304252034
ch5_kurtosis,0.026068666209403665
ch3_rms,0.025154936035927656
ch6_rms,0.02485022805629719
ch2_peak_to_peak,0.024484507447764137
ch6_peak_to_peak,0.022422832732904085
ch3_std,0.02081218537386894
ch1_crest_factor,0.01966312747017922
ch3_crest_factor,0.01878067378399243
ch5_crest_factor,0.017437977326763675
ch1_kurtosis,0.015135951122752766
ch6_crest_factor,0.013907247325692906
ch4_crest_factor,0.0072082556988738965
ch4_kurtosis,0.006588656453047419
ch6_kurtosis,0.006133612013681433
