Model,Test Accuracy (%),Macro F1,CV Mean (%),CV Std (%),Training Time (s),Prediction Time (ms),Model Size (KB)
Random Forest,96.67519181585678,0.9571993290333339,95.8485146566988,0.7487527787478538,0.17574909999530064,28.23050000006333,2188.4619140625
Extra Trees,93.09462915601023,0.9182508070407794,94.10505606925045,0.8140016965901726,0.17724340000131633,28.65439999732189,2870.5087890625
Decision Tree,90.53708439897699,0.8655225274189279,89.08269394714408,1.2608244865225884,0.03650509999715723,1.5305999986594543,23.4775390625
SVM,83.63171355498721,0.7741822759427541,84.26401731261066,1.3185885849991121,0.0731110999986413,33.50050000153715,303.3486328125
Logistic Regression,82.86445012787725,0.7585510069010944,83.95684962948391,1.8326084144037267,0.06311200000345707,1.221799997438211,4.3056640625
